Component,File Path,Line Range,Text,Type,Length,Priority,Notes
Footer,components/Footer.tsx,107,Privacy,Link,7,High,Footer link
Footer,components/Footer.tsx,108,Terms,Link,5,High,Footer link
Blog,components/blog/Blog.tsx,6,Top 10 free keylogger software,Post Title,27,Medium,Blog post
Blog,components/blog/Blog.tsx,6,Roundup,Tag,7,Low,Post tag
Blog,components/blog/Blog.tsx,6,A quick comparison of free options, strengths, and trade-offs.,Summary,61,Medium,Post summary
Blog,components/blog/Blog.tsx,11,How to add an Antivirus Exception,Post Title,30,Medium,Blog post
Blog,components/blog/Blog.tsx,11,Tutorial,Tag,8,Low,Post tag
Blog,components/blog/Blog.tsx,11,Step-by-step instructions to reduce false positives safely.,Summary,62,Medium,Post summary
Blog,components/blog/Blog.tsx,16,Email Delivery Configuration Guide,Post Title,34,Medium,Blog post
Blog,components/blog/Blog.tsx,16,Setup,Tag,5,Low,Post tag
Blog,components/blog/Blog.tsx,16,Configure email reports correctly and verify they arrive on time.,Summary,66,Medium,Post summary
Blog,components/blog/Blog.tsx,51,Fresh Reads,Badge,11,Medium,Badge
Blog,components/blog/Blog.tsx,55,Welcome to Bestxsoftware Blog!,Heading,29,High,Page heading
Blog,components/blog/Blog.tsx,58,Pick a post to learn setup tips, troubleshooting tricks, and practical walkthroughs.,Description,80,High,Page description
Blog,components/blog/Blog.tsx,64,Featured Posts,Heading,14,High,Section heading
FAQ,components/FAQ/Faq.tsx,5,How to reset the login password,FAQ Title,29,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,6,How to set up Email Delivery,FAQ Title,28,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,7,How to set up FTP Delivery,FAQ Title,26,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,8,How to unhide Best Free Keylogger,FAQ Title,31,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,9,How to import and view logs,FAQ Title,27,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,10,How to load reports,FAQ Title,21,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,11,Can I reuse the same product key?,FAQ Title,29,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,12,What are the compatible Windows versions?,FAQ Title,37,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,13,Can I install Best Free Keylogger on a remote computer?,FAQ Title,50,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,14,Is Best Free Keylogger completely undetectable?,FAQ Title,44,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,15,Does Best Free Keylogger collect user information?,FAQ Title,45,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,16,Does BFK work with applications other than web browsers?,FAQ Title,52,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,17,Can I use information recorded with BFK as legal evidence?,FAQ Title,53,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,18,I cannot find Best Free Keylogger on my computer,FAQ Title,45,High,Product FAQ
FAQ,components/FAQ/Faq.tsx,21,How to retrieve a lost license key,FAQ Title,32,High,Ordering FAQ
FAQ,components/FAQ/Faq.tsx,22,How to buy Best Free Keylogger,FAQ Title,28,High,Ordering FAQ
FAQ,components/FAQ/Faq.tsx,23,How to get the license key,FAQ Title,27,High,Ordering FAQ
FAQ,components/FAQ/Faq.tsx,24,How to buy for multiple computers,FAQ Title,32,High,Ordering FAQ
FAQ,components/FAQ/Faq.tsx,25,Are there any recurring charges?,FAQ Title,32,High,Ordering FAQ
FAQ,components/FAQ/Faq.tsx,27,How to install Best Free Keylogger,Blog Post,33,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,28,Getting Started Guide,Blog Post,20,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,29,How to Load Reports,Blog Post,18,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,30,Email Delivery Configuration Guide,Blog Post,34,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,31,How to activate Pro version,Blog Post,27,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,32,What are False Malware Alarms,Blog Post,28,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,33,How to add an Antivirus Exception,Blog Post,30,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,34,Top 10 free keylogger software,Blog Post,27,Medium,Blog post list
FAQ,components/FAQ/Faq.tsx,60,Frequently Asked Questions,Heading,26,High,Page main heading
FAQ,components/FAQ/Faq.tsx,63,Product FAQ,Section Heading,11,High,Section title
FAQ,components/FAQ/Faq.tsx,82,Ordering FAQ,Section Heading,12,High,Section title
FAQ,components/FAQ/Faq.tsx,102,Read more on our Blog,Badge,22,Medium,Sidebar badge
FAQ,components/FAQ/Faq.tsx,115,FAQ Topics,Label,10,High,Counter label
FAQ,components/FAQ/Faq.tsx,117,Guides,Label,6,High,Counter label
Pricing,components/buy_now/BuyNow.tsx,23,Pricing Plans,Badge,13,High,Page badge
Pricing,components/buy_now/BuyNow.tsx,24,Don't have Pro version,Heading,21,High,Main heading
Pricing,components/buy_now/BuyNow.tsx,25,"Compare Lite and Pro editions and choose the plan that fits your monitoring needs.",Description,77,High,Description text
Pricing,components/buy_now/BuyNow.tsx,36,Special Offer,Badge,13,High,Offer badge
Pricing,components/buy_now/BuyNow.tsx,49,Best Free Keylogger,Heading,19,High,Table title
Pricing,components/buy_now/BuyNow.tsx,50,One-time payment • Lifetime license,Subheading,33,High,Pricing subheading
Pricing,components/buy_now/BuyNow.tsx,52,Lite,Column Header,4,High,Pricing column
Pricing,components/buy_now/BuyNow.tsx,53,Free,Price,4,High,Price
Pricing,components/buy_now/BuyNow.tsx,53,Forever,Duration,7,High,Duration
Pricing,components/buy_now/BuyNow.tsx,61,Pro,Column Header,3,High,Pricing column
Pricing,components/buy_now/BuyNow.tsx,62,POPULAR,Badge,7,High,Popular badge
Pricing,components/buy_now/BuyNow.tsx,63,$39,Price,3,High,Price (may need to stay as-is)
Pricing,components/buy_now/BuyNow.tsx,64,Get Pro,Button,7,High,Button text
Pricing,components/buy_now/BuyNow.tsx,67,All monitoring features,Feature,20,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,68,Specific program | User logging,Feature,27,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,69,Uninstall automatically,Feature,20,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,70,Clear logs automatically,Feature,21,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,71,Log file encryption,Feature,18,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,72,Advanced filtering options,Feature,24,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,73,Unlimited Screenshots,Feature,21,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,73,10 per day,Feature,10,High,Feature row (Lite only)
Pricing,components/buy_now/BuyNow.tsx,74,Invisible mode,Feature,13,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,75,Delivery options (email, FTP, LAN, USB),Feature,34,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,76,Premium tech support,Feature,18,High,Feature row
Pricing,components/buy_now/BuyNow.tsx,108,100% Money Back Guarantee,Heading,24,High,Guarantee heading
Pricing,components/buy_now/BuyNow.tsx,109,Not satisfied? Get a full refund within 30 days,Description,51,High,Guarantee description
Pricing,components/buy_now/BuyNow.tsx,110,Read Refund Policy →,Link,21,Medium,Policy link
Pricing,components/buy_now/BuyNow.tsx,112,Buy Now,Button,7,High,CTA button
Pricing,components/buy_now/BuyNow.tsx,117,Why Choose Best Free Keylogger?,Heading,29,High,Section heading
Pricing,components/buy_now/BuyNow.tsx,118,Everything you need in one powerful package,Subheading,45,High,Section subheading
Pricing,components/buy_now/BuyNow.tsx,123,Priority Support,Prop Title,17,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,123,Unlimited lifetime technical support,Prop Description,34,High,Value prop description
Pricing,components/buy_now/BuyNow.tsx,126,Free Upgrades,Prop Title,14,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,126,Free upgrades until the release of the next major version.,Prop Description,64,High,Value prop description
Pricing,components/buy_now/BuyNow.tsx,129,One-time Purchase,Prop Title,17,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,129,Licenses are a one-time purchase. They do not have an expiration date.,Prop Description,71,High,Value prop description
Pricing,components/buy_now/BuyNow.tsx,132,Secure Purchase,Prop Title,15,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,132,Our online ordering system is powered by a secure e-commerce platform for selling software products.,Prop Description,113,High,Value prop description
Pricing,components/buy_now/BuyNow.tsx,135,Instant Delivery,Prop Title,15,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,135,Registration keys are delivered instantly to your e-mail after payment submission.,Prop Description,74,High,Value prop description
Pricing,components/buy_now/BuyNow.tsx,138,Recoverable Keys,Prop Title,16,High,Value prop
Pricing,components/buy_now/BuyNow.tsx,138,If you ever lose your license key, we will provide a new one free of charge.,Prop Description,75,High,Value prop description
Download,components/download/Download.tsx,15,Download Center,Badge,15,High,Page badge
Download,components/download/Download.tsx,16,Download Best Free Keylogger,Heading,27,High,Page heading
Download,components/download/Download.tsx,17,Simple, secure, and lightweight monitoring software.,Description,49,High,Description
Download,components/download/Download.tsx,33,Version:,Label,8,Low,Metadata
Download,components/download/Download.tsx,33,8.2.1,Metadata,5,Low,Version number
Download,components/download/Download.tsx,35,Released:,Label,9,Low,Metadata
Download,components/download/Download.tsx,35,2025-07-15,Metadata,10,Low,Release date
Download,components/download/Download.tsx,37,File-size:,Label,10,Low,Metadata
Download,components/download/Download.tsx,37,6.6 MB,Metadata,6,Low,File size
Download,components/download/Download.tsx,45,Lite Version,Heading,11,High,Card title
Download,components/download/Download.tsx,46,Free basic monitoring features.,Description,28,High,Card description
Download,components/download/Download.tsx,49,Verified Safe Download,Badge,21,High,Safety badge
Download,components/download/Download.tsx,52,Download,Button,8,High,Button text
Download,components/download/Download.tsx,55,Free,Pricing,4,High,Price label
Download,components/download/Download.tsx,55,no license required,Note,18,Medium,Note
Download,components/download/Download.tsx,61,Pro Version,Heading,10,High,Card title
Download,components/download/Download.tsx,62,Advanced tracking & full features.,Description,29,High,Card description
Download,components/download/Download.tsx,65,Popular,Badge,7,High,Badge
Download,components/download/Download.tsx,69,Verified Safe Download,Badge,21,High,Safety badge
Download,components/download/Download.tsx,72,Download,Button,8,High,Button text
Download,components/download/Download.tsx,75,7-day trial,Pricing,10,High,Trial period
Download,components/download/Download.tsx,75,no key required,Note,14,Medium,Note
Features Detailed,components/features/Features.tsx,41,Security Features,Badge,17,High,Section badge
Features Detailed,components/features/Features.tsx,43,Powerful Keylogger Capabilities.,Heading,28,High,Page heading
Features Detailed,components/features/Features.tsx,44,"Everything you need for advanced monitoring, wrapped in a clean, intuitive interface designed for maximum control.",Description,126,High,Description
Features Detailed,components/features/Features.tsx,60,Capture,Column Header,7,High,Column title
Features Detailed,components/features/Features.tsx,62,Keystroke Records,Feature,17,High,Feature item
Features Detailed,components/features/Features.tsx,63,Clipboard Records,Feature,17,High,Feature item
Features Detailed,components/features/Features.tsx,64,Screenshots,Feature,11,High,Feature item
Features Detailed,components/features/Features.tsx,65,Internet Activity,Feature,17,High,Feature item
Features Detailed,components/features/Features.tsx,66,Application Usage,Feature,16,High,Feature item
Features Detailed,components/features/Features.tsx,67,"Smart Read" Filter,Feature,15,High,Feature item
Features Detailed,components/features/Features.tsx,68,Advanced Filtering,Feature,18,High,Feature item
Features Detailed,components/features/Features.tsx,69,HTML Reports,Feature,12,High,Feature item
Features Detailed,components/features/Features.tsx,74,Management,Column Header,10,High,Column title
Features Detailed,components/features/Features.tsx,76,Limit by User/Application,Feature,24,High,Feature item
Features Detailed,components/features/Features.tsx,77,Scheduled Monitoring,Feature,20,High,Feature item
Features Detailed,components/features/Features.tsx,78,Encrypted Log Files,Feature,18,High,Feature item
Features Detailed,components/features/Features.tsx,79,Password Protection,Feature,19,High,Feature item
Features Detailed,components/features/Features.tsx,80,Delivery via Email & FTP,Feature,24,High,Feature item
Features Detailed,components/features/Features.tsx,81,Back Up Old Logs,Feature,16,High,Feature item
Features Detailed,components/features/Features.tsx,82,Automatic Log Clearance,Feature,22,High,Feature item
Features Detailed,components/features/Features.tsx,87,Security,Column Header,8,High,Column title
Features Detailed,components/features/Features.tsx,89,Invisible Mode,Feature,13,High,Feature item
Features Detailed,components/features/Features.tsx,90,Auto Uninstallation,Feature,16,High,Feature item
Features Detailed,components/features/Features.tsx,91,Parental Controls,Feature,16,High,Feature item
Features Detailed,components/features/Features.tsx,92,Web Filtering,Feature,13,High,Feature item
Features Detailed,components/features/Features.tsx,93,Time Limiting,Feature,13,High,Feature item
Features Detailed,components/features/Features.tsx,94,Internet Blocking,Feature,16,High,Feature item
Features Detailed,components/features/Features.tsx,95,Application Blocking,Feature,19,High,Feature item
Features Detailed,components/features/Features.tsx,103,Advanced features for professional monitoring environments.,Metadata,60,Low,Footer note
Features_2,components/features/Features_2.tsx,6,"Smart Read" Filter,Heading,15,Medium,Feature title
Features_2,components/features/Features_2.tsx,8,"Smart-Read" is a unique feature on Best Free Keylogger that massively improves readability of keystroke reports. "Smart-Read" can clear the clutter of keystrokes by cleverly analyzing the records and filtering out unimportant keystrokes such as backspace and delete to show only the final string of characters. This feature can be switched on or off with just one click.,Description,431,Medium,Feature description
Features_2,components/features/Features_2.tsx,12,Advanced Filtering,Heading,17,Medium,Feature title
Features_2,components/features/Features_2.tsx,14,Best Free Keylogger report viewer is equipped with filters that can filter the records by user, date, text content, application, URL etc. This feature helps you find what you are looking for without having to strain your eyes scanning the whole report.,Description,282,Medium,Feature description
Support,components/support/Support.tsx,72,24/7 Support Available,Badge,21,High,Page badge
Support,components/support/Support.tsx,76,We're Here to Help You Succeed,Heading,28,High,Main heading
Support,components/support/Support.tsx,79,Get the help you need, when you need it. Our support team is here to assist you 24/7.,Description,82,High,Description
Support,components/support/Support.tsx,84,FAQs,Card Title,4,High,Card title
Support,components/support/Support.tsx,85,Find answers to frequently asked questions and quick solutions to common issues,Card Description,74,High,Card description
Support,components/support/Support.tsx,87,Most Popular,Badge,11,Medium,Badge
Support,components/support/Support.tsx,89,Documentation,Card Title,13,High,Card title
Support,components/support/Support.tsx,90,Technical documentation for Best Free Keylogger with detailed guides and API references,Card Description,99,High,Card description
Support,components/support/Support.tsx,94,Contact Us,Card Title,10,High,Card title
Support,components/support/Support.tsx,95,Get personalized help from our expert support team via email or live chat,Card Description,84,High,Card description
Support,components/support/Support.tsx,108,Quick Response,Badge,14,Medium,Badge
Support,components/support/Support.tsx,109,Can't find what you're looking for?,Text,32,High,Opening text
Support,components/support/Support.tsx,110,Contact our support team,Link,21,High,Link text
Support,components/support/Support.tsx,111,and we'll get back to you within 24 hours.,Text,42,High,Closing text
FAQ Template,app/support/faq/_components/FaqAnswerPage.tsx,28,Back to FAQ,Link,11,High,Navigation link
FAQ Template,app/support/faq/_components/FaqAnswerPage.tsx,34,Question,Label,8,High,Section label
FAQ Template,app/support/faq/_components/FaqAnswerPage.tsx,38,Answer,Label,6,High,Section label
Metadata,app/layout.tsx,8,Create Next App,Page Title,15,High,NEEDS UPDATE - Generic title
Metadata,app/layout.tsx,9,Generated by create next app,Description,25,High,NEEDS UPDATE - Generic description
Metadata,app/layout.tsx,17,en,Language Code,2,High,Default language config
Metadata,app/layout.tsx,29,pageLanguage: 'en',Config,23,High,Translation API config
Metadata,app/layout.tsx,30,includedLanguages: 'en,es,de,ru,pl',Config,35,High,Supported languages config
